TL,TM,TR,CL,CM,CR,BL,BM,BR,probe,corr,Load
*,*,*,*,G,*,*,*,*,g,left,1
*,*,*,*,H,*,*,*,*,h,left,1
*,*,*,*,X,*,*,*,*,d,right,1
*,*,*,*,R,*,*,*,*,r,left,1
*,*,*,*,M,*,*,*,*,h,right,1
*,*,*,*,Y,*,*,*,*,z,right,1
*,*,*,M,*,K,*,*,*,v,right,2
*,*,*,H,*,R,*,*,*,p,right,2
*,*,*,D,*,T,*,*,*,d,left,2
*,*,*,L,*,K,*,*,*,k,left,2
*,*,*,M,*,X,*,*,*,x,left,2
*,*,*,P,*,T,*,*,*,g,right,2
*,*,*,V,P,M,*,*,*,p,left,3
*,*,*,S,R,Y,*,*,*,j,right,3
*,*,*,V,D,B,*,*,*,h,right,3
*,*,*,Y,R,L,*,*,*,y,left,3
*,*,*,P,J,N,*,*,*,c,right,3
*,*,*,X,S,T,*,*,*,s,left,3
G,*,C,*,*,*,Q,*,B,q,left,4
K,*,P,*,*,*,H,*,J,r,right,4
M,*,B,*,*,*,X,*,N,s,right,4
P,*,V,*,*,*,H,*,F,v,left,4
X,*,L,*,*,*,B,*,S,s,left,4
C,*,T,*,*,*,Q,*,M,k,right,4
Z,*,N,*,R,*,K,*,Y,y,left,5
Q,*,G,*,V,*,B,*,M,g,left,5
J,*,H,*,N,*,C,*,T,s,right,5
K,*,B,*,P,*,G,*,M,r,right,5
X,*,Z,*,N,*,L,*,J,n,left,5
P,*,M,*,G,*,F,*,K,h,right,5
B,Z,M,*,*,*,N,S,J,c,right,6
D,F,H,*,*,*,R,P,Q,h,left,6
K,L,V,*,*,*,M,B,T,g,right,6
D,X,J,*,*,*,F,P,Z,x,left,6
R,G,T,*,*,*,C,B,Q,c,left,6
K,Y,D,*,*,*,X,V,H,n,right,6
L,B,G,*,C,*,Q,K,F,k,left,7
Z,Y,D,*,J,*,T,X,S,d,left,7
L,F,P,*,R,*,G,V,N,g,left,7
T,K,S,*,C,*,X,Y,B,z,right,7
P,G,Q,*,J,*,V,F,H,d,right,7
B,Y,L,*,R,*,Z,S,M,c,right,7
Z,Y,X,R,*,J,D,S,N,c,right,8
L,G,F,V,*,P,C,Q,K,q,left,8
S,J,X,T,*,R,B,H,V,s,left,8
F,K,T,Q,*,Y,Z,N,M,n,left,8
B,P,J,G,*,K,H,X,D,v,right,8
Z,Y,C,F,*,S,L,K,M,n,right,8
P,M,S,Y,L,C,X,K,H,b,right,9
J,C,N,Q,V,K,Z,G,T,c,left,9
H,R,M,Y,B,V,P,Q,L,m,left,9
D,Y,N,B,X,K,F,Z,T,t,left,9
J,R,G,H,M,N,S,Y,V,p,right,9
G,C,J,X,L,T,K,B,D,q,right,9
