TL,TM,TR,CL,CM,CR,BL,BM,BR,probe,corr
*,*,*,*,R,*,*,*,*,d,right
*,*,*,*,K,*,*,*,*,n,right
*,*,*,*,J,*,*,*,*,f,right
*,*,*,*,B,*,*,*,*,b,left
*,*,*,*,X,*,*,*,*,x,left
*,*,*,*,C,*,*,*,*,c,left
*,*,*,V,*,F,*,*,*,d,right
*,*,*,G,*,B,*,*,*,k,right
*,*,*,D,*,P,*,*,*,p,left
*,*,*,V,*,T,*,*,*,z,right
*,*,*,S,*,F,*,*,*,f,left
*,*,*,T,*,P,*,*,*,t,left
*,*,*,B,G,F,*,*,*,g,left
*,*,*,K,D,R,*,*,*,x,right
*,*,*,G,L,Y,*,*,*,s,right
*,*,*,H,K,F,*,*,*,h,left
*,*,*,N,V,J,*,*,*,v,left
*,*,*,Q,F,K,*,*,*,p,right
P,*,Q,*,*,*,H,*,T,q,left
L,*,S,*,*,*,V,*,N,n,left
Q,*,J,*,*,*,R,*,B,r,left
F,*,M,*,*,*,V,*,H,g,right
L,*,T,*,*,*,P,*,C,y,right
N,*,B,*,*,*,Q,*,Z,k,right
B,*,T,*,K,*,P,*,N,x,right
D,*,R,*,C,*,V,*,Z,s,right
H,*,G,*,T,*,P,*,F,p,left
S,*,J,*,B,*,Y,*,X,j,left
T,*,N,*,Q,*,K,*,H,n,left
R,*,M,*,Y,*,F,*,L,v,right
D,T,F,*,*,*,K,R,C,j,right
B,G,Q,*,*,*,Y,P,S,q,left
H,R,T,*,*,*,Z,K,L,z,left
B,C,F,*,*,*,J,G,V,j,left
Z,D,P,*,*,*,S,Q,X,k,right
B,J,C,*,*,*,G,Y,F,m,right
S,J,Q,*,D,*,G,V,P,d,left
M,H,X,*,L,*,T,K,Y,h,left
G,D,J,*,R,*,B,N,P,p,left
F,Q,S,*,K,*,Y,L,M,x,right
J,C,V,*,D,*,N,P,B,r,right
F,Q,S,*,K,*,Y,L,M,x,right
M,F,G,X,*,H,B,L,S,s,left
L,V,P,T,*,K,Z,R,C,k,left
S,B,F,X,*,G,D,Q,Y,f,left
H,Y,Z,L,*,M,K,V,C,r,right
P,R,X,D,*,G,N,Q,B,t,right
Y,M,F,H,*,K,Z,J,B,l,right
H,Y,M,J,S,R,C,B,D,v,right
X,T,N,P,L,F,K,S,Y,t,left
V,M,D,G,Y,X,R,H,C,z,right
S,P,K,Q,V,L,N,Y,B,p,left
M,Z,H,G,R,K,T,F,S,h,left
Z,N,R,V,X,J,Q,D,Y,b,right
