TL,TM,TR,CL,CM,CR,BL,BM,BR,probe,corr
X,*,L,*,P,*,Q,*,G,h,down
S,*,H,*,K,*,F,*,B,j,down
D,*,P,*,Q,*,R,*,Z,p,left
G,*,K,*,F,*,Y,*,N,n,left
S,*,B,*,Q,*,T,*,D,q,left
P,*,H,*,N,*,K,*,Y,y,left
X,*,J,*,Q,*,L,*,Z,l,left
K,*,R,*,N,*,D,*,C,c,left
S,*,P,*,X,*,L,*,Q,h,down
G,*,C,*,Z,*,Y,*,B,c,left
P,*,V,*,H,*,T,*,R,t,left
M,*,B,*,Q,*,F,*,N,q,left
R,*,Y,*,K,*,Z,*,V,v,left
J,*,L,*,C,*,H,*,N,q,down
P,*,K,*,Q,*,G,*,B,p,left
S,*,R,*,X,*,Z,*,T,d,down
P,*,F,*,V,*,B,*,D,l,down
Y,*,X,*,T,*,N,*,S,q,down
L,*,C,*,K,*,M,*,H,v,down
N,*,R,*,D,*,X,*,J,f,down
C,*,T,*,V,*,Q,*,F,p,down
L,*,Y,*,S,*,P,*,B,d,down
F,*,R,*,Q,*,H,*,T,n,down
J,*,D,*,G,*,L,*,P,l,left
