TL,TM,TR,CL,CM,CR,BL,BM,BR,probe,corr
*,*,*,*,H,*,*,*,*,h,left
*,*,*,*,Z,*,*,*,*,p,down
*,*,*,*,P,*,*,*,*,p,left
*,*,*,*,S,*,*,*,*,m,down
*,*,*,*,F,*,*,*,*,f,left
*,*,*,*,Y,*,*,*,*,r,down
*,*,*,*,Y,*,*,*,*,y,left
*,*,*,*,D,*,*,*,*,p,down
*,*,*,*,R,*,*,*,*,r,left
*,*,*,*,M,*,*,*,*,z,down
*,*,*,*,T,*,*,*,*,t,left
*,*,*,*,R,*,*,*,*,s,down
*,*,*,*,S,*,*,*,*,s,left
*,*,*,*,H,*,*,*,*,t,down
*,*,*,*,J,*,*,*,*,j,left
*,*,*,*,J,*,*,*,*,c,down
*,*,*,*,Q,*,*,*,*,q,left
*,*,*,*,N,*,*,*,*,v,down
*,*,*,*,S,*,*,*,*,s,left
*,*,*,*,N,*,*,*,*,c,down
*,*,*,*,T,*,*,*,*,t,left
*,*,*,*,H,*,*,*,*,s,down
*,*,*,*,H,*,*,*,*,h,left
*,*,*,*,T,*,*,*,*,d,down
*,*,*,*,S,*,*,*,*,s,left
*,*,*,*,N,*,*,*,*,m,down
*,*,*,*,B,*,*,*,*,b,left
*,*,*,*,Z,*,*,*,*,p,down
*,*,*,*,F,*,*,*,*,f,left
*,*,*,*,K,*,*,*,*,b,down
*,*,*,*,K,*,*,*,*,k,left
*,*,*,*,C,*,*,*,*,l,down
*,*,*,*,X,*,*,*,*,x,left
*,*,*,*,F,*,*,*,*,n,down
*,*,*,*,C,*,*,*,*,c,left
*,*,*,*,R,*,*,*,*,f,down
*,*,*,*,M,*,*,*,*,m,left
*,*,*,*,B,*,*,*,*,q,down
*,*,*,*,M,*,*,*,*,m,left
*,*,*,*,Z,*,*,*,*,f,down
*,*,*,*,K,*,*,*,*,k,left
*,*,*,*,Y,*,*,*,*,j,down
*,*,*,*,F,*,*,*,*,f,left
*,*,*,*,X,*,*,*,*,y,down
*,*,*,*,V,*,*,*,*,v,left
*,*,*,*,G,*,*,*,*,q,down
*,*,*,*,V,*,*,*,*,v,left
*,*,*,*,R,*,*,*,*,j,down
*,*,*,*,J,*,*,*,*,j,left
*,*,*,*,R,*,*,*,*,y,down
*,*,*,*,P,*,*,*,*,p,left
*,*,*,*,P,*,*,*,*,m,down
*,*,*,*,B,*,*,*,*,b,left
*,*,*,*,V,*,*,*,*,l,down
*,*,*,*,K,*,*,*,*,k,left
*,*,*,*,P,*,*,*,*,h,down
*,*,*,*,J,*,*,*,*,j,left
*,*,*,*,P,*,*,*,*,v,down
*,*,*,*,Y,*,*,*,*,y,left
*,*,*,*,G,*,*,*,*,b,down
*,*,*,*,S,*,*,*,*,s,left
*,*,*,*,Z,*,*,*,*,d,down
*,*,*,*,N,*,*,*,*,n,left
*,*,*,*,K,*,*,*,*,z,down
*,*,*,*,Q,*,*,*,*,q,left
*,*,*,*,S,*,*,*,*,k,down
*,*,*,*,K,*,*,*,*,k,left
*,*,*,*,R,*,*,*,*,f,down
*,*,*,*,V,*,*,*,*,v,left
*,*,*,*,X,*,*,*,*,m,down
