TL,TM,TR,CL,CM,CR,BL,BM,BR,probe,corr
*,*,*,*,H,*,*,*,*,h,left
*,*,*,*,Z,*,*,*,*,p,down
*,*,*,*,S,*,*,*,*,m,down
*,*,*,*,F,*,*,*,*,f,left
*,*,*,*,Y,*,*,*,*,r,down
*,*,*,*,D,*,*,*,*,p,down
*,*,*,*,Y,*,*,*,*,y,left
*,*,*,*,P,*,*,*,*,p,left
*,*,*,*,R,*,*,*,*,r,left
*,*,*,*,M,*,*,*,*,z,down
*,*,*,P,*,Z,*,*,*,z,left
*,*,*,M,*,X,*,*,*,h,down
*,*,*,J,*,D,*,*,*,d,left
*,*,*,N,*,C,*,*,*,s,down
*,*,*,F,*,P,*,*,*,f,left
*,*,*,T,*,Q,*,*,*,h,down
*,*,*,K,*,L,*,*,*,k,left
*,*,*,L,*,H,*,*,*,p,down
*,*,*,B,*,J,*,*,*,j,left
*,*,*,G,*,B,*,*,*,p,down
*,*,*,S,R,G,*,*,*,g,left
*,*,*,H,D,T,*,*,*,j,down
*,*,*,B,L,Y,*,*,*,h,down
*,*,*,C,V,Y,*,*,*,r,down
*,*,*,T,P,F,*,*,*,p,left
*,*,*,H,C,K,*,*,*,k,left
*,*,*,R,G,P,*,*,*,r,left
*,*,*,P,L,R,*,*,*,g,down
*,*,*,Y,B,V,*,*,*,v,left
*,*,*,R,Y,N,*,*,*,s,down
K,*,L,*,*,*,V,*,R,l,left
D,*,J,*,*,*,Q,*,N,z,down
F,*,Y,*,*,*,K,*,G,k,left
X,*,Y,*,*,*,J,*,Z,m,down
Z,*,K,*,*,*,Q,*,Y,k,left
F,*,R,*,*,*,C,*,S,b,down
T,*,N,*,*,*,D,*,S,t,left
V,*,G,*,*,*,C,*,D,h,down
G,*,Z,*,*,*,Y,*,K,k,left
G,*,H,*,*,*,J,*,R,x,down
Y,*,P,*,N,*,T,*,H,t,left
T,*,D,*,X,*,Q,*,C,k,down
P,*,L,*,N,*,X,*,Z,p,left
X,*,F,*,K,*,V,*,B,c,down
L,*,G,*,J,*,K,*,M,k,left
X,*,J,*,K,*,G,*,N,r,down
D,*,V,*,C,*,K,*,G,k,left
K,*,F,*,N,*,D,*,R,z,down
R,*,N,*,H,*,B,*,P,n,left
V,*,Y,*,S,*,C,*,K,x,down
Y,P,S,*,*,*,B,G,Q,q,left
G,D,H,*,*,*,K,P,Y,c,down
M,D,K,*,*,*,L,Q,Y,q,left
G,N,T,*,*,*,P,B,R,j,down
Q,C,Y,*,*,*,J,M,B,q,left
Q,V,K,*,*,*,J,L,D,g,down
P,M,B,*,*,*,G,Q,Y,y,left
V,J,S,*,*,*,D,Y,T,q,down
Z,T,G,*,*,*,F,S,H,s,left
M,J,R,*,*,*,Y,F,Q,b,down
D,J,B,*,T,*,Z,S,Q,t,left
S,J,B,*,X,*,C,V,D,y,down
F,T,C,*,D,*,R,Q,B,q,left
L,H,X,*,P,*,J,Q,B,t,down
Z,Y,B,*,H,*,N,M,F,n,left
X,V,Q,*,N,*,J,P,S,m,down
N,R,G,*,X,*,D,Q,F,f,left
N,L,J,*,C,*,T,Q,S,h,down
Y,Z,N,*,S,*,R,F,L,f,left
K,D,R,*,B,*,C,S,M,h,down
P,H,Z,K,*,L,J,M,V,k,left
G,Z,Y,J,*,Q,C,N,K,h,down
Z,L,H,N,*,K,G,R,B,k,left
P,M,K,S,*,X,G,C,R,d,down
T,P,Y,X,*,S,J,B,C,j,left
M,K,V,C,*,F,B,D,X,r,down
Y,B,D,G,*,R,K,C,S,r,left
Q,K,G,J,*,X,Z,F,C,b,down
P,Y,T,S,*,L,G,D,R,r,left
D,H,Y,L,*,K,V,X,N,g,down
R,S,M,G,H,T,N,D,P,h,left
D,X,N,C,J,S,Z,K,R,b,down
F,R,D,V,B,Q,K,M,C,r,left
X,F,Y,C,L,K,Q,T,B,n,down
Y,K,N,F,V,X,Q,S,T,f,left
G,P,T,D,X,L,Z,S,Q,h,down
Z,D,Y,H,G,J,K,N,P,h,left
R,V,Y,G,Z,M,X,B,F,p,down
S,L,Y,P,B,K,F,Q,Z,z,left
T,C,R,J,K,M,X,V,L,s,down
