imageL,imageLn,imageR,imageRn,imageLop,imageLnop,imageRop,imageRnop,corr
FRTFaces/cropAM11NEHR.JPG,FRTFaces/noisecropAM11NEHR.JPG,FRTFaces/cropAM11NEHL.JPG,FRTFaces/noisecropAM11NEHL.JPG,1,0,1,0,left
FRTFaces/cropAM20NEHR.JPG,FRTFaces/noisecropAM20NEHR.JPG,FRTFaces/cropAM20NEHL.JPG,FRTFaces/noisecropAM20NEHL.JPG,1,0,1,0,left
FRTFaces/cropAF12NEHR.JPG,FRTFaces/noisecropAF12NEHR.JPG,FRTFaces/cropAF12NEHL.JPG,FRTFaces/noisecropAF12NEHL.JPG,1,0,1,0,left
FRTFaces/cropAM01NEHR.JPG,FRTFaces/noisecropAM01NEHR.JPG,FRTFaces/cropAM35NEHL.JPG,FRTFaces/noisecropAM35NEHL.JPG,1,0,1,0,right
FRTFaces/cropAF34NEHR.JPG,FRTFaces/noisecropAF34NEHR.JPG,FRTFaces/cropAF34NEHL.JPG,FRTFaces/noisecropAF34NEHL.JPG,1,0,1,0,left
FRTFaces/cropAF21NEHR.JPG,FRTFaces/noisecropAF21NEHR.JPG,FRTFaces/cropAF21NEHL.JPG,FRTFaces/noisecropAF21NEHL.JPG,1,0,1,0,left
FRTFaces/cropAF03NEHR.JPG,FRTFaces/noisecropAF03NEHR.JPG,FRTFaces/cropAF10NEHL.JPG,FRTFaces/noisecropAF10NEHL.JPG,1,0,1,0,right
FRTFaces/cropAF09NEHR.JPG,FRTFaces/noisecropAF09NEHR.JPG,FRTFaces/cropAF16NEHL.JPG,FRTFaces/noisecropAF16NEHL.JPG,1,0,1,0,right
FRTFaces/cropAM26NEHR.JPG,FRTFaces/noisecropAM26NEHR.JPG,FRTFaces/cropAM26NEHL.JPG,FRTFaces/noisecropAM26NEHL.JPG,1,0,1,0,left
FRTFaces/cropAM02NEHR.JPG,FRTFaces/noisecropAM02NEHR.JPG,FRTFaces/cropAM29NEHL.JPG,FRTFaces/noisecropAM29NEHL.JPG,1,0,1,0,right
FRTFaces/cropAM03NEHR.JPG,FRTFaces/noisecropAM03NEHR.JPG,FRTFaces/cropAM07NEHL.JPG,FRTFaces/noisecropAM07NEHL.JPG,1,0,1,0,right
FRTFaces/cropAF14NEHR.JPG,FRTFaces/noisecropAF14NEHR.JPG,FRTFaces/cropAF18NEHL.JPG,FRTFaces/noisecropAF18NEHL.JPG,1,0,1,0,right
FRTFaces/cropAM10NEHR.JPG,FRTFaces/noisecropAM10NEHR.JPG,FRTFaces/cropAM10NEHL.JPG,FRTFaces/noisecropAM10NEHL.JPG,0.9,0.1,0.9,0.1,left
FRTFaces/cropAM04NEHR.JPG,FRTFaces/noisecropAM04NEHR.JPG,FRTFaces/cropAM19NEHL.JPG,FRTFaces/noisecropAM19NEHL.JPG,0.9,0.1,0.9,0.1,right
FRTFaces/cropAF15NEHR.JPG,FRTFaces/noisecropAF15NEHR.JPG,FRTFaces/cropAF19NEHL.JPG,FRTFaces/noisecropAF19NEHL.JPG,0.9,0.1,0.9,0.1,right
FRTFaces/cropAM05NEHR.JPG,FRTFaces/noisecropAM05NEHR.JPG,FRTFaces/cropAM17NEHL.JPG,FRTFaces/noisecropAM17NEHL.JPG,0.9,0.1,0.9,0.1,right
FRTFaces/cropAM33NEHR.JPG,FRTFaces/noisecropAM33NEHR.JPG,FRTFaces/cropAM33NEHL.JPG,FRTFaces/noisecropAM33NEHL.JPG,0.9,0.1,0.9,0.1,left
FRTFaces/cropAF17NEHR.JPG,FRTFaces/noisecropAF17NEHR.JPG,FRTFaces/cropAF29NEHL.JPG,FRTFaces/noisecropAF29NEHL.JPG,0.9,0.1,0.9,0.1,right
FRTFaces/cropAF22NEHR.JPG,FRTFaces/noisecropAF22NEHR.JPG,FRTFaces/cropAF22NEHL.JPG,FRTFaces/noisecropAF22NEHL.JPG,0.9,0.1,0.9,0.1,left
FRTFaces/cropAM21NEHR.JPG,FRTFaces/noisecropAM21NEHR.JPG,FRTFaces/cropAM21NEHL.JPG,FRTFaces/noisecropAM21NEHL.JPG,0.9,0.1,0.9,0.1,left
FRTFaces/cropAF10NEHR.JPG,FRTFaces/noisecropAF10NEHR.JPG,FRTFaces/cropAF10NEHL.JPG,FRTFaces/noisecropAF10NEHL.JPG,0.9,0.1,0.9,0.1,left
FRTFaces/cropAF20NEHR.JPG,FRTFaces/noisecropAF20NEHR.JPG,FRTFaces/cropAF26NEHL.JPG,FRTFaces/noisecropAF26NEHL.JPG,0.9,0.1,0.9,0.1,right
FRTFaces/cropAF16NEHR.JPG,FRTFaces/noisecropAF16NEHR.JPG,FRTFaces/cropAF16NEHL.JPG,FRTFaces/noisecropAF16NEHL.JPG,0.9,0.1,0.9,0.1,left
FRTFaces/cropAM06NEHR.JPG,FRTFaces/noisecropAM06NEHR.JPG,FRTFaces/cropAM31NEHL.JPG,FRTFaces/noisecropAM31NEHL.JPG,0.9,0.1,0.9,0.1,right
FRTFaces/cropAF09NEHR.JPG,FRTFaces/noisecropAF09NEHR.JPG,FRTFaces/cropAF09NEHL.JPG,FRTFaces/noisecropAF09NEHL.JPG,0.8,0.2,0.8,0.2,left
FRTFaces/cropAF21NEHR.JPG,FRTFaces/noisecropAF21NEHR.JPG,FRTFaces/cropAF22NEHL.JPG,FRTFaces/noisecropAF22NEHL.JPG,0.8,0.2,0.8,0.2,right
