imageL,imageLn,imageR,imageRn,imageLop,imageLnop,imageRop,imageRnop,corr
FRTFaces/cropAM08NEHR.JPG,FRTFaces/noisecropAM08NEHR.JPG,FRTFaces/cropAM08NEHL.JPG,FRTFaces/noisecropAM08NEHL.JPG,1,0,1,0,left
FRTFaces/cropAM09NEHR.JPG,FRTFaces/noisecropAM09NEHR.JPG,FRTFaces/cropAM09NEHL.JPG,FRTFaces/noisecropAM09NEHL.JPG,1,0,1,0,left
FRTFaces/cropBM12NEHR.JPG,FRTFaces/noisecropBM12NEHR.JPG,FRTFaces/cropBM12NEHL.JPG,FRTFaces/noisecropBM12NEHL.JPG,1,0,1,0,left
FRTFaces/cropAM13NEHR.JPG,FRTFaces/noisecropAM13NEHR.JPG,FRTFaces/cropAM13NEHL.JPG,FRTFaces/noisecropAM13NEHL.JPG,1,0,1,0,left
FRTFaces/cropAM14NEHR.JPG,FRTFaces/noisecropAM14NEHR.JPG,FRTFaces/cropAM14NEHL.JPG,FRTFaces/noisecropAM14NEHL.JPG,1,0,1,0,left
FRTFaces/cropAM15NEHR.JPG,FRTFaces/noisecropAM15NEHR.JPG,FRTFaces/cropAM15NEHL.JPG,FRTFaces/noisecropAM15NEHL.JPG,1,0,1,0,left
FRTFaces/cropBM16NEHR.JPG,FRTFaces/noisecropBM16NEHR.JPG,FRTFaces/cropBM16NEHL.JPG,FRTFaces/noisecropBM16NEHL.JPG,1,0,1,0,left
FRTFaces/cropAM18NEHR.JPG,FRTFaces/noisecropAM18NEHR.JPG,FRTFaces/cropAM18NEHL.JPG,FRTFaces/noisecropAM18NEHL.JPG,1,0,1,0,left
FRTFaces/cropAM22NEHR.JPG,FRTFaces/noisecropAM22NEHR.JPG,FRTFaces/cropAM22NEHL.JPG,FRTFaces/noisecropAM22NEHL.JPG,1,0,1,0,left
FRTFaces/cropAM23NEHR.JPG,FRTFaces/noisecropAM23NEHR.JPG,FRTFaces/cropAM23NEHL.JPG,FRTFaces/noisecropAM23NEHL.JPG,1,0,1,0,left
FRTFaces/cropBM24NEHR.JPG,FRTFaces/noisecropBM24NEHR.JPG,FRTFaces/cropBM24NEHL.JPG,FRTFaces/noisecropBM24NEHL.JPG,1,0,1,0,left
FRTFaces/cropAM25NEHR.JPG,FRTFaces/noisecropAM25NEHR.JPG,FRTFaces/cropAM25NEHL.JPG,FRTFaces/noisecropAM25NEHL.JPG,1,0,1,0,left
FRTFaces/cropBM27NEHR.JPG,FRTFaces/noisecropBM27NEHR.JPG,FRTFaces/cropBM27NEHL.JPG,FRTFaces/noisecropBM27NEHL.JPG,1,0,1,0,left
FRTFaces/cropAM28NEHR.JPG,FRTFaces/noisecropAM28NEHR.JPG,FRTFaces/cropAM28NEHL.JPG,FRTFaces/noisecropAM28NEHL.JPG,1,0,1,0,left
FRTFaces/cropAM30NEHR.JPG,FRTFaces/noisecropAM30NEHR.JPG,FRTFaces/cropAM30NEHL.JPG,FRTFaces/noisecropAM30NEHL.JPG,1,0,1,0,left
FRTFaces/cropAM32NEHR.JPG,FRTFaces/noisecropAM32NEHR.JPG,FRTFaces/cropAM32NEHL.JPG,FRTFaces/noisecropAM32NEHL.JPG,1,0,1,0,left
FRTFaces/cropAM34NEHR.JPG,FRTFaces/noisecropAM34NEHR.JPG,FRTFaces/cropAM34NEHL.JPG,FRTFaces/noisecropAM34NEHL.JPG,1,0,1,0,left
FRTFaces/cropAM08NEHR.JPG,FRTFaces/noisecropAM08NEHR.JPG,FRTFaces/cropAM13NEHL.JPG,FRTFaces/noisecropAM13NEHL.JPG,1,0,1,0,down
FRTFaces/cropAM09NEHR.JPG,FRTFaces/noisecropAM09NEHR.JPG,FRTFaces/cropAM15NEHL.JPG,FRTFaces/noisecropAM15NEHL.JPG,1,0,1,0,down
FRTFaces/cropBM12NEHR.JPG,FRTFaces/noisecropBM12NEHR.JPG,FRTFaces/cropAM23NEHL.JPG,FRTFaces/noisecropAM23NEHL.JPG,1,0,1,0,down
FRTFaces/cropAM14NEHR.JPG,FRTFaces/noisecropAM14NEHR.JPG,FRTFaces/cropAM18NEHL.JPG,FRTFaces/noisecropAM18NEHL.JPG,1,0,1,0,down
FRTFaces/cropBM16NEHR.JPG,FRTFaces/noisecropBM16NEHR.JPG,FRTFaces/cropAM22NEHL.JPG,FRTFaces/noisecropAM22NEHL.JPG,1,0,1,0,down
FRTFaces/cropBM24NEHR.JPG,FRTFaces/noisecropBM24NEHR.JPG,FRTFaces/cropAM25NEHL.JPG,FRTFaces/noisecropAM25NEHL.JPG,1,0,1,0,down
FRTFaces/cropBM27NEHR.JPG,FRTFaces/noisecropBM27NEHR.JPG,FRTFaces/cropAM28NEHL.JPG,FRTFaces/noisecropAM28NEHL.JPG,1,0,1,0,down
FRTFaces/cropBM27NEHR.JPG,FRTFaces/noisecropBM27NEHR.JPG,FRTFaces/cropAM30NEHL.JPG,FRTFaces/noisecropAM30NEHL.JPG,1,0,1,0,down
FRTFaces/cropAM32NEHR.JPG,FRTFaces/noisecropAM32NEHR.JPG,FRTFaces/cropAM34NEHL.JPG,FRTFaces/noisecropAM34NEHL.JPG,1,0,1,0,down
FRTFaces/cropAM13NEHR.JPG,FRTFaces/noisecropAM13NEHR.JPG,FRTFaces/cropAM08NEHL.JPG,FRTFaces/noisecropAM08NEHL.JPG,1,0,1,0,down
FRTFaces/cropAM15NEHR.JPG,FRTFaces/noisecropAM15NEHR.JPG,FRTFaces/cropAM09NEHL.JPG,FRTFaces/noisecropAM09NEHL.JPG,1,0,1,0,down
FRTFaces/cropAM23NEHR.JPG,FRTFaces/noisecropAM23NEHR.JPG,FRTFaces/cropBM12NEHL.JPG,FRTFaces/noisecropBM12NEHL.JPG,1,0,1,0,down
FRTFaces/cropAM18NEHR.JPG,FRTFaces/noisecropAM18NEHR.JPG,FRTFaces/cropAM14NEHL.JPG,FRTFaces/noisecropAM14NEHL.JPG,1,0,1,0,down
