Stimulus,Choice1,Choice2,Choice3,Choice4,Choice5,Choice6,Choice7,Choice8,Corr
../../MatricesImages/AltBMatrix1.bmp,../../MatricesImages/AltBMatrix1Choice1.bmp,../../MatricesImages/AltBMatrix1Choice2.bmp,../../MatricesImages/AltBMatrix1Choice3.bmp,../../MatricesImages/AltBMatrix1Choice4.bmp,../../MatricesImages/AltBMatrix1Choice5.bmp,../../MatricesImages/AltBMatrix1Choice6.bmp,../../MatricesImages/AltBMatrix1Choice7.bmp,../../MatricesImages/AltBMatrix1Choice8.bmp,2
../../MatricesImages/AltBMatrix2.bmp,../../MatricesImages/AltBMatrix2Choice1.bmp,../../MatricesImages/AltBMatrix2Choice2.bmp,../../MatricesImages/AltBMatrix2Choice3.bmp,../../MatricesImages/AltBMatrix2Choice4.bmp,../../MatricesImages/AltBMatrix2Choice5.bmp,../../MatricesImages/AltBMatrix2Choice6.bmp,../../MatricesImages/AltBMatrix2Choice7.bmp,../../MatricesImages/AltBMatrix2Choice8.bmp,5
../../MatricesImages/AltBMatrix3.bmp,../../MatricesImages/AltBMatrix3Choice1.bmp,../../MatricesImages/AltBMatrix3Choice2.bmp,../../MatricesImages/AltBMatrix3Choice3.bmp,../../MatricesImages/AltBMatrix3Choice4.bmp,../../MatricesImages/AltBMatrix3Choice5.bmp,../../MatricesImages/AltBMatrix3Choice6.bmp,../../MatricesImages/AltBMatrix3Choice7.bmp,../../MatricesImages/AltBMatrix3Choice8.bmp,7
../../MatricesImages/AltBMatrix4.bmp,../../MatricesImages/AltBMatrix4Choice1.bmp,../../MatricesImages/AltBMatrix4Choice2.bmp,../../MatricesImages/AltBMatrix4Choice3.bmp,../../MatricesImages/AltBMatrix4Choice4.bmp,../../MatricesImages/AltBMatrix4Choice5.bmp,../../MatricesImages/AltBMatrix4Choice6.bmp,../../MatricesImages/AltBMatrix4Choice7.bmp,../../MatricesImages/AltBMatrix4Choice8.bmp,2
../../MatricesImages/AltBMatrix5.bmp,../../MatricesImages/AltBMatrix5Choice1.bmp,../../MatricesImages/AltBMatrix5Choice2.bmp,../../MatricesImages/AltBMatrix5Choice3.bmp,../../MatricesImages/AltBMatrix5Choice4.bmp,../../MatricesImages/AltBMatrix5Choice5.bmp,../../MatricesImages/AltBMatrix5Choice6.bmp,../../MatricesImages/AltBMatrix5Choice7.bmp,../../MatricesImages/AltBMatrix5Choice8.bmp,3
../../MatricesImages/AltBMatrix6.bmp,../../MatricesImages/AltBMatrix6Choice1.bmp,../../MatricesImages/AltBMatrix6Choice2.bmp,../../MatricesImages/AltBMatrix6Choice3.bmp,../../MatricesImages/AltBMatrix6Choice4.bmp,../../MatricesImages/AltBMatrix6Choice5.bmp,../../MatricesImages/AltBMatrix6Choice6.bmp,../../MatricesImages/AltBMatrix6Choice7.bmp,../../MatricesImages/AltBMatrix6Choice8.bmp,2
../../MatricesImages/AltBMatrix7.bmp,../../MatricesImages/AltBMatrix7Choice1.bmp,../../MatricesImages/AltBMatrix7Choice2.bmp,../../MatricesImages/AltBMatrix7Choice3.bmp,../../MatricesImages/AltBMatrix7Choice4.bmp,../../MatricesImages/AltBMatrix7Choice5.bmp,../../MatricesImages/AltBMatrix7Choice6.bmp,../../MatricesImages/AltBMatrix7Choice7.bmp,../../MatricesImages/AltBMatrix7Choice8.bmp,5
../../MatricesImages/AltBMatrix8.bmp,../../MatricesImages/AltBMatrix8Choice1.bmp,../../MatricesImages/AltBMatrix8Choice2.bmp,../../MatricesImages/AltBMatrix8Choice3.bmp,../../MatricesImages/AltBMatrix8Choice4.bmp,../../MatricesImages/AltBMatrix8Choice5.bmp,../../MatricesImages/AltBMatrix8Choice6.bmp,../../MatricesImages/AltBMatrix8Choice7.bmp,../../MatricesImages/AltBMatrix8Choice8.bmp,2
../../MatricesImages/AltBMatrix9.bmp,../../MatricesImages/AltBMatrix9Choice1.bmp,../../MatricesImages/AltBMatrix9Choice2.bmp,../../MatricesImages/AltBMatrix9Choice3.bmp,../../MatricesImages/AltBMatrix9Choice4.bmp,../../MatricesImages/AltBMatrix9Choice5.bmp,../../MatricesImages/AltBMatrix9Choice6.bmp,../../MatricesImages/AltBMatrix9Choice7.bmp,../../MatricesImages/AltBMatrix9Choice8.bmp,2
../../MatricesImages/AltBMatrix10.bmp,../../MatricesImages/AltBMatrix10Choice1.bmp,../../MatricesImages/AltBMatrix10Choice2.bmp,../../MatricesImages/AltBMatrix10Choice3.bmp,../../MatricesImages/AltBMatrix10Choice4.bmp,../../MatricesImages/AltBMatrix10Choice5.bmp,../../MatricesImages/AltBMatrix10Choice6.bmp,../../MatricesImages/AltBMatrix10Choice7.bmp,../../MatricesImages/AltBMatrix10Choice8.bmp,5
../../MatricesImages/AltBMatrix11.bmp,../../MatricesImages/AltBMatrix11Choice1.bmp,../../MatricesImages/AltBMatrix11Choice2.bmp,../../MatricesImages/AltBMatrix11Choice3.bmp,../../MatricesImages/AltBMatrix11Choice4.bmp,../../MatricesImages/AltBMatrix11Choice5.bmp,../../MatricesImages/AltBMatrix11Choice6.bmp,../../MatricesImages/AltBMatrix11Choice7.bmp,../../MatricesImages/AltBMatrix11Choice8.bmp,1
../../MatricesImages/AltBMatrix12.bmp,../../MatricesImages/AltBMatrix12Choice1.bmp,../../MatricesImages/AltBMatrix12Choice2.bmp,../../MatricesImages/AltBMatrix12Choice3.bmp,../../MatricesImages/AltBMatrix12Choice4.bmp,../../MatricesImages/AltBMatrix12Choice5.bmp,../../MatricesImages/AltBMatrix12Choice6.bmp,../../MatricesImages/AltBMatrix12Choice7.bmp,../../MatricesImages/AltBMatrix12Choice8.bmp,2
