Choice8,Stimulus,Choice5,Choice6,Choice7,Choice1,Choice2,Choice3,Choice4,Corr,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,StartPractice.keys,StartPractice.rt,GetReadyResp.keys,GetReadyResp.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Participant ID,date,expName,session,frameRate,
,,,,,,,,,,,,,,return,0.478301048279,,,,,,9999999,2018_Nov_06_1504,Matrices,01,59.8533029665,
,,,,,,,,,,,,,,,,j,0.555751085281,,,,9999999,2018_Nov_06_1504,Matrices,01,59.8533029665,
../../MatricesImages/AltBMatrix1Choice8.bmp,../../MatricesImages/AltBMatrix1.bmp,../../MatricesImages/AltBMatrix1Choice5.bmp,../../MatricesImages/AltBMatrix1Choice6.bmp,../../MatricesImages/AltBMatrix1Choice7.bmp,../../MatricesImages/AltBMatrix1Choice1.bmp,../../MatricesImages/AltBMatrix1Choice2.bmp,../../MatricesImages/AltBMatrix1Choice3.bmp,../../MatricesImages/AltBMatrix1Choice4.bmp,2,0,0,0,0,,,,,7,0,1.28625702858,9999999,2018_Nov_06_1504,Matrices,01,59.8533029665,
../../MatricesImages/AltBMatrix2Choice8.bmp,../../MatricesImages/AltBMatrix2.bmp,../../MatricesImages/AltBMatrix2Choice5.bmp,../../MatricesImages/AltBMatrix2Choice6.bmp,../../MatricesImages/AltBMatrix2Choice7.bmp,../../MatricesImages/AltBMatrix2Choice1.bmp,../../MatricesImages/AltBMatrix2Choice2.bmp,../../MatricesImages/AltBMatrix2Choice3.bmp,../../MatricesImages/AltBMatrix2Choice4.bmp,5,0,1,1,1,,,,,6,0,0.351969957352,9999999,2018_Nov_06_1504,Matrices,01,59.8533029665,
../../MatricesImages/AltBMatrix3Choice8.bmp,../../MatricesImages/AltBMatrix3.bmp,../../MatricesImages/AltBMatrix3Choice5.bmp,../../MatricesImages/AltBMatrix3Choice6.bmp,../../MatricesImages/AltBMatrix3Choice7.bmp,../../MatricesImages/AltBMatrix3Choice1.bmp,../../MatricesImages/AltBMatrix3Choice2.bmp,../../MatricesImages/AltBMatrix3Choice3.bmp,../../MatricesImages/AltBMatrix3Choice4.bmp,7,0,2,2,2,,,,,5,0,0.321995973587,9999999,2018_Nov_06_1504,Matrices,01,59.8533029665,
../../MatricesImages/AltBMatrix4Choice8.bmp,../../MatricesImages/AltBMatrix4.bmp,../../MatricesImages/AltBMatrix4Choice5.bmp,../../MatricesImages/AltBMatrix4Choice6.bmp,../../MatricesImages/AltBMatrix4Choice7.bmp,../../MatricesImages/AltBMatrix4Choice1.bmp,../../MatricesImages/AltBMatrix4Choice2.bmp,../../MatricesImages/AltBMatrix4Choice3.bmp,../../MatricesImages/AltBMatrix4Choice4.bmp,2,0,3,3,3,,,,,4,0,0.22212100029,9999999,2018_Nov_06_1504,Matrices,01,59.8533029665,
../../MatricesImages/AltBMatrix5Choice8.bmp,../../MatricesImages/AltBMatrix5.bmp,../../MatricesImages/AltBMatrix5Choice5.bmp,../../MatricesImages/AltBMatrix5Choice6.bmp,../../MatricesImages/AltBMatrix5Choice7.bmp,../../MatricesImages/AltBMatrix5Choice1.bmp,../../MatricesImages/AltBMatrix5Choice2.bmp,../../MatricesImages/AltBMatrix5Choice3.bmp,../../MatricesImages/AltBMatrix5Choice4.bmp,3,0,4,4,4,,,,,3,1,0.188081026077,9999999,2018_Nov_06_1504,Matrices,01,59.8533029665,
../../MatricesImages/AltBMatrix6Choice8.bmp,../../MatricesImages/AltBMatrix6.bmp,../../MatricesImages/AltBMatrix6Choice5.bmp,../../MatricesImages/AltBMatrix6Choice6.bmp,../../MatricesImages/AltBMatrix6Choice7.bmp,../../MatricesImages/AltBMatrix6Choice1.bmp,../../MatricesImages/AltBMatrix6Choice2.bmp,../../MatricesImages/AltBMatrix6Choice3.bmp,../../MatricesImages/AltBMatrix6Choice4.bmp,2,0,5,5,5,,,,,2,1,0.168258905411,9999999,2018_Nov_06_1504,Matrices,01,59.8533029665,
../../MatricesImages/AltBMatrix7Choice8.bmp,../../MatricesImages/AltBMatrix7.bmp,../../MatricesImages/AltBMatrix7Choice5.bmp,../../MatricesImages/AltBMatrix7Choice6.bmp,../../MatricesImages/AltBMatrix7Choice7.bmp,../../MatricesImages/AltBMatrix7Choice1.bmp,../../MatricesImages/AltBMatrix7Choice2.bmp,../../MatricesImages/AltBMatrix7Choice3.bmp,../../MatricesImages/AltBMatrix7Choice4.bmp,5,0,6,6,6,,,,,1,0,0.205496788025,9999999,2018_Nov_06_1504,Matrices,01,59.8533029665,
../../MatricesImages/AltBMatrix8Choice8.bmp,../../MatricesImages/AltBMatrix8.bmp,../../MatricesImages/AltBMatrix8Choice5.bmp,../../MatricesImages/AltBMatrix8Choice6.bmp,../../MatricesImages/AltBMatrix8Choice7.bmp,../../MatricesImages/AltBMatrix8Choice1.bmp,../../MatricesImages/AltBMatrix8Choice2.bmp,../../MatricesImages/AltBMatrix8Choice3.bmp,../../MatricesImages/AltBMatrix8Choice4.bmp,2,0,7,7,7,,,,,1,0,0.0338699817657,9999999,2018_Nov_06_1504,Matrices,01,59.8533029665,
