Stimulus,ElapsedTime,count,Block,LoadLevel,KeyPress,RT,Correct,date,frameRate,expName,session,participant,
Instructions,36.0145301819,,,,,,,2016_Apr_28_1346,59.9315566644,NBack,001,1234,
X,42.022300005,1,1,01230123,,,,2016_Apr_28_1346,59.9315566644,NBack,001,1234,
V,44.0226671696,2,1,01230123,,,,2016_Apr_28_1346,59.9315566644,NBack,001,1234,
X,46.0228440762,3,1,01230123,,,,2016_Apr_28_1346,59.9315566644,NBack,001,1234,
H,48.0232610703,4,1,01230123,,,,2016_Apr_28_1346,59.9315566644,NBack,001,1234,
M,50.0235710144,5,1,01230123,,,,2016_Apr_28_1346,59.9315566644,NBack,001,1234,
X,52.0239021778,6,1,01230123,,,,2016_Apr_28_1346,59.9315566644,NBack,001,1234,
W,54.024132967,7,1,01230123,,,,2016_Apr_28_1346,59.9315566644,NBack,001,1234,
X,56.0245471001,8,1,01230123,,,,2016_Apr_28_1346,59.9315566644,NBack,001,1234,
E,58.0248060226,9,1,01230123,,,,2016_Apr_28_1346,59.9315566644,NBack,001,1234,
J,60.0249810219,10,1,01230123,,,,2016_Apr_28_1346,59.9315566644,NBack,001,1234,
F,62.0251619816,11,1,01230123,,,,2016_Apr_28_1346,59.9315566644,NBack,001,1234,
N,64.0253989697,12,1,01230123,,,,2016_Apr_28_1346,59.9315566644,NBack,001,1234,
D,66.0259160995,13,1,01230123,,,,2016_Apr_28_1346,59.9315566644,NBack,001,1234,
T,68.0259091854,14,1,01230123,,,,2016_Apr_28_1346,59.9315566644,NBack,001,1234,
Instructions,98.0000660419,,,,,,,2016_Apr_28_1346,59.9315566644,NBack,001,1234,
R,104.014364004,1,2,01230123,,,,2016_Apr_28_1346,59.9315566644,NBack,001,1234,
R,106.015001059,2,2,01230123,,,,2016_Apr_28_1346,59.9315566644,NBack,001,1234,
M,108.015077114,3,2,01230123,right,1.41073584557,N,2016_Apr_28_1346,59.9315566644,NBack,001,1234,
