Stimulus,ElapsedTime,count,Block,LoadLevel,date,frameRate,expName,session,participant,
Instructions,5.01921319382,,,,2014_Dec_15_0815,50.0844579743,NBack,001,,
N,11.0511686234,1,1,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
Z,13.0606232658,2,1,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
T,15.0305861933,3,1,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
T,17.0510183146,4,1,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
K,19.0411434659,5,1,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
E,21.0304073588,6,1,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
H,23.0408033511,7,1,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
J,25.0312911086,8,1,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
J,27.0310590626,9,1,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
F,29.0414325635,10,1,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
A,31.0331831343,11,1,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
W,33.0408006083,12,1,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
W,35.0318972809,13,1,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
W,37.0425011822,14,1,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
Instructions,44.0010653273,,,,2014_Dec_15_0815,50.0844579743,NBack,001,,
F,50.0413607005,1,2,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
E,52.031757395,2,2,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
Y,54.0413864834,3,2,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
K,56.0324590189,4,2,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
B,58.0414468263,5,2,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
P,60.0317096692,6,2,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
W,62.0417902326,7,2,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
W,64.0318555895,8,2,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
W,66.0418719698,9,2,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
W,68.0315154747,10,2,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
J,70.0418110783,11,2,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
J,72.0316290291,12,2,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
T,74.0420557415,13,2,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
V,76.0317667208,14,2,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
Instructions,83.0010263786,,,,2014_Dec_15_0815,50.0844579743,NBack,001,,
V,89.0448496199,1,3,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
C,91.0345375591,2,3,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
X,93.042803994,3,3,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
N,95.0324743789,4,3,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
N,97.022579233,5,3,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
Y,99.0325742191,6,3,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
M,101.022551256,7,3,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
A,103.022423987,8,3,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
T,105.022558387,9,3,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
T,107.02337576,10,3,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
T,109.023258365,11,3,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
T,111.023867829,12,3,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
G,113.043489161,13,3,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
J,115.033599501,14,3,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
Instructions,122.001227705,,,,2014_Dec_15_0815,50.0844579743,NBack,001,,
E,128.023683509,1,4,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
T,130.033498563,2,4,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
T,132.023883738,3,4,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
F,134.024749385,4,4,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
F,136.024339601,5,4,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
D,138.044437094,6,4,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
M,140.03502524,7,4,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
X,142.024074092,8,4,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
S,144.044973597,9,4,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
G,146.03512124,10,4,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
G,148.025868472,11,4,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
G,150.025060974,12,4,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
R,152.044292819,13,4,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
W,154.035648418,14,4,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
Instructions,161.001067522,,,,2014_Dec_15_0815,50.0844579743,NBack,001,,
Z,167.045556181,1,5,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
T,169.035277034,2,5,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
B,171.025282048,3,5,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
H,173.036059298,4,5,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
D,175.025606255,5,5,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
V,177.026895399,6,5,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
V,179.025351169,7,5,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
V,181.025314963,8,5,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
L,183.045529301,9,5,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
N,185.036579345,10,5,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
N,187.025826781,11,5,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
N,189.025734072,12,5,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
S,191.027016634,13,5,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
C,193.026517982,14,5,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
Instructions,200.0019211,,,,2014_Dec_15_0815,50.0844579743,NBack,001,,
F,206.026116427,1,6,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
F,208.028176316,2,6,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
J,210.036925494,3,6,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
K,212.027271171,4,6,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
N,214.026436793,5,6,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
N,216.029717803,6,6,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
L,218.026979331,7,6,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
X,220.026758805,8,6,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
B,222.02648781,9,6,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
B,224.026727536,10,6,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
B,226.027161457,11,6,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
M,228.028050144,12,6,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
D,230.027253617,13,6,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
T,232.027198211,14,6,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
Instructions,239.00128695,,,,2014_Dec_15_0815,50.0844579743,NBack,001,,
T,245.027436292,1,7,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
G,247.027795606,2,7,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
L,249.02809019,3,7,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
D,251.028603653,4,7,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
D,253.028587745,5,7,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
H,255.02822843,6,7,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
H,257.02916594,7,7,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
Y,259.028688133,8,7,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
Y,261.027901481,9,7,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
B,263.028733116,10,7,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
R,265.028520819,11,7,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
R,267.038939851,12,7,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
S,269.028211973,13,7,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
A,271.028272316,14,7,1,2014_Dec_15_0815,50.0844579743,NBack,001,,
Instructions,278.001026379,,,,2014_Dec_15_0815,50.0844579743,NBack,001,,
