Stimulus,ElapsedTime,count,Block,LoadLevel,date,frameRate,expName,session,participant,
Instructions,36.0199987493,,,,2015_May_05_1011,49.9737919918,NBack,001,,
R,42.0387582738,1,1,1,2015_May_05_1011,49.9737919918,NBack,001,,
L,44.0285345332,2,1,1,2015_May_05_1011,49.9737919918,NBack,001,,
T,46.0292838828,3,1,1,2015_May_05_1011,49.9737919918,NBack,001,,
T,48.0495453982,4,1,1,2015_May_05_1011,49.9737919918,NBack,001,,
T,50.0388334282,5,1,1,2015_May_05_1011,49.9737919918,NBack,001,,
D,52.0292399971,6,1,1,2015_May_05_1011,49.9737919918,NBack,001,,
F,54.0463291192,7,1,1,2015_May_05_1011,49.9737919918,NBack,001,,
N,56.0293864658,8,1,1,2015_May_05_1011,49.9737919918,NBack,001,,
H,58.0338337409,9,1,1,2015_May_05_1011,49.9737919918,NBack,001,,
G,60.0442834934,10,1,1,2015_May_05_1011,49.9737919918,NBack,001,,
J,62.0537101586,11,1,1,2015_May_05_1011,49.9737919918,NBack,001,,
J,64.0648286205,12,1,1,2015_May_05_1011,49.9737919918,NBack,001,,
J,66.0539630504,13,1,1,2015_May_05_1011,49.9737919918,NBack,001,,
W,68.0449543972,14,1,1,2015_May_05_1011,49.9737919918,NBack,001,,
Instructions,98.0178560261,,,,2015_May_05_1011,49.9737919918,NBack,001,,
B,104.045348272,1,2,1,2015_May_05_1011,49.9737919918,NBack,001,,
K,106.044454099,2,2,1,2015_May_05_1011,49.9737919918,NBack,001,,
K,108.034223227,3,2,1,2015_May_05_1011,49.9737919918,NBack,001,,
M,110.024584813,4,2,1,2015_May_05_1011,49.9737919918,NBack,001,,
M,112.024144858,5,2,1,2015_May_05_1011,49.9737919918,NBack,001,,
M,114.023961635,6,2,1,2015_May_05_1011,49.9737919918,NBack,001,,
H,116.024138275,7,2,1,2015_May_05_1011,49.9737919918,NBack,001,,
P,118.042811125,8,2,1,2015_May_05_1011,49.9737919918,NBack,001,,
L,120.042912063,9,2,1,2015_May_05_1011,49.9737919918,NBack,001,,
G,122.044389368,10,2,1,2015_May_05_1011,49.9737919918,NBack,001,,
R,124.03310798,11,2,1,2015_May_05_1011,49.9737919918,NBack,001,,
J,126.042468816,12,2,1,2015_May_05_1011,49.9737919918,NBack,001,,
J,128.032830951,13,2,1,2015_May_05_1011,49.9737919918,NBack,001,,
X,130.03346126,14,2,1,2015_May_05_1011,49.9737919918,NBack,001,,
Instructions,160.004871321,,,,2015_May_05_1011,49.9737919918,NBack,001,,
K,166.030095221,1,3,1,2015_May_05_1011,49.9737919918,NBack,001,,
S,168.02963826,2,3,1,2015_May_05_1011,49.9737919918,NBack,001,,
S,170.029585598,3,3,1,2015_May_05_1011,49.9737919918,NBack,001,,
S,172.030113873,4,3,1,2015_May_05_1011,49.9737919918,NBack,001,,
C,174.050398428,5,3,1,2015_May_05_1011,49.9737919918,NBack,001,,
F,176.040654139,6,3,1,2015_May_05_1011,49.9737919918,NBack,001,,
B,178.040902643,7,3,1,2015_May_05_1011,49.9737919918,NBack,001,,
B,180.030293804,8,3,1,2015_May_05_1011,49.9737919918,NBack,001,,
L,182.040728745,9,3,1,2015_May_05_1011,49.9737919918,NBack,001,,
G,184.030766674,10,3,1,2015_May_05_1011,49.9737919918,NBack,001,,
G,186.040634391,11,3,1,2015_May_05_1011,49.9737919918,NBack,001,,
P,188.031319634,12,3,1,2015_May_05_1011,49.9737919918,NBack,001,,
Z,190.041175832,13,3,1,2015_May_05_1011,49.9737919918,NBack,001,,
E,192.030906011,14,3,1,2015_May_05_1011,49.9737919918,NBack,001,,
Instructions,222.001344551,,,,2015_May_05_1011,49.9737919918,NBack,001,,
B,228.047177212,1,4,1,2015_May_05_1011,49.9737919918,NBack,001,,
X,230.036528328,2,4,1,2015_May_05_1011,49.9737919918,NBack,001,,
X,232.026425273,3,4,1,2015_May_05_1011,49.9737919918,NBack,001,,
E,234.02755204,4,4,1,2015_May_05_1011,49.9737919918,NBack,001,,
V,236.036772991,5,4,1,2015_May_05_1011,49.9737919918,NBack,001,,
F,238.047780641,6,4,1,2015_May_05_1011,49.9737919918,NBack,001,,
G,240.037553609,7,4,1,2015_May_05_1011,49.9737919918,NBack,001,,
T,242.046464617,8,4,1,2015_May_05_1011,49.9737919918,NBack,001,,
C,244.04713552,9,4,1,2015_May_05_1011,49.9737919918,NBack,001,,
C,246.054339371,10,4,1,2015_May_05_1011,49.9737919918,NBack,001,,
C,248.067823825,11,4,1,2015_May_05_1011,49.9737919918,NBack,001,,
C,250.056829889,12,4,1,2015_May_05_1011,49.9737919918,NBack,001,,
W,252.031022857,13,4,1,2015_May_05_1011,49.9737919918,NBack,001,,
K,254.036889837,14,4,1,2015_May_05_1011,49.9737919918,NBack,001,,
