Stimulus,ElapsedTime,count,Block,LoadLevel,KeyPress,RT,Correct,date,frameRate,expName,session,participant,
Instructions,36.0000839233,,,,,,,2018_Jul_18_1136,30.0038056432,NBack,001,,
F,42.0368409157,1,1,01230123,,,,2018_Jul_18_1136,30.0038056432,NBack,001,,
B,44.0376980305,2,1,01230123,,,,2018_Jul_18_1136,30.0038056432,NBack,001,,
W,46.0368869305,3,1,01230123,,,,2018_Jul_18_1136,30.0038056432,NBack,001,,
X,48.0345299244,4,1,01230123,1,0.379806041718,N,2018_Jul_18_1136,30.0038056432,NBack,001,,
L,50.0368700027,5,1,01230123,,,,2018_Jul_18_1136,30.0038056432,NBack,001,,
D,52.0377299786,6,1,01230123,,,,2018_Jul_18_1136,30.0038056432,NBack,001,,
X,54.0345308781,7,1,01230123,1,0.571886062622,Y,2018_Jul_18_1136,30.0038056432,NBack,001,,
S,56.0369369984,8,1,01230123,,,,2018_Jul_18_1136,30.0038056432,NBack,001,,
X,58.0345458984,9,1,01230123,1,0.459971904755,N,2018_Jul_18_1136,30.0038056432,NBack,001,,
V,60.0344750881,10,1,01230123,,,,2018_Jul_18_1136,30.0038056432,NBack,001,,
