trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,session,participant,
0,0,0,0,left,0.421743154526,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
1,0,1,0,left,0.448143005371,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
2,0,2,0,left,0.433556079865,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
3,0,3,0,left,0.306838989258,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
4,0,4,0,left,0.473483085632,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
5,0,5,0,left,0.457432031631,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
6,0,6,0,left,0.398303031921,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
7,0,7,0,left,0.51201581955,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
8,0,8,0,left,0.380454063416,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
9,0,9,0,left,0.433148145676,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
10,0,10,0,left,0.5572681427,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
11,0,11,0,left,0.450507879257,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
12,0,12,0,left,0.467072963715,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
13,0,13,0,left,0.63628911972,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
14,0,14,0,left,0.462866783142,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
15,0,15,0,left,0.536447048187,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
16,0,16,0,left,0.482199907303,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
17,0,17,0,left,0.507598876953,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
18,0,18,0,left,0.3982629776,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
19,0,19,0,left,0.415186882019,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
20,0,20,0,left,0.492322921753,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
21,0,21,0,left,0.457215070724,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
22,0,22,0,left,0.282383203506,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
23,0,23,0,left,0.433656215668,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
24,0,24,0,left,0.326023101807,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
25,0,25,0,left,0.428517818451,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
26,0,26,0,left,0.34369802475,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
27,0,27,0,left,0.321669101715,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
28,0,28,0,left,0.488420009613,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
29,0,29,0,left,0.258223056793,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
30,0,30,0,left,0.459620952606,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
31,0,31,0,left,0.458370923996,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
32,0,32,0,left,0.446012020111,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
33,0,33,0,left,0.425730228424,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
34,0,34,0,left,0.429967164993,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
35,0,35,0,left,0.350533008575,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
36,0,36,0,left,0.44784116745,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
37,0,37,0,left,0.306636095047,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
38,0,38,0,left,0.41805100441,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
39,0,39,0,left,0.243972063065,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
40,0,40,0,left,0.405946969986,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
41,0,41,0,left,0.35081410408,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
42,0,42,0,left,0.404226064682,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
43,0,43,0,left,0.410818099976,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
44,0,44,0,left,0.423836946487,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
45,0,45,0,left,0.527829885483,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
46,0,46,0,left,0.401473045349,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
47,0,47,0,left,0.352894067764,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
48,0,48,0,left,0.402022123337,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
49,0,49,0,left,0.438718795776,2020_Aug_19_1901,None,ResponseTimeTest,001,Desktop,
