trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,session,participant,
0,0,0,0,left,6.16948604584,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
1,0,1,0,left,6.1997590065,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
2,0,2,0,left,0.795438051224,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
3,0,3,0,left,0.843966007233,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
4,0,4,0,left,0.588342905045,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
5,0,5,0,left,0.572674036026,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
6,0,6,0,left,0.454612016678,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
7,0,7,0,left,4.68794679642,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
8,0,8,0,left,0.950751066208,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
9,0,9,0,left,0.498670816422,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
10,0,10,0,left,0.484392166138,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
11,0,11,0,left,0.985002040863,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
12,0,12,0,left,0.813336133957,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
13,0,13,0,left,2.88905906677,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
14,0,14,0,left,0.942728996277,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
15,0,15,0,left,0.463268041611,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
16,0,16,0,left,0.970638036728,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
17,0,17,0,left,1.63168406487,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
18,0,18,0,left,3.85446691513,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
19,0,19,0,left,2.97293186188,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
20,0,20,0,left,2.72388315201,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
21,0,21,0,left,1.08222913742,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
22,0,22,0,left,2.18692493439,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
23,0,23,0,left,0.595143079758,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
24,0,24,0,left,0.729834079742,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
25,0,25,0,left,0.567689180374,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
26,0,26,0,left,0.858304977417,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
27,0,27,0,left,1.82050609589,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
28,0,28,0,left,2.73722600937,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
29,0,29,0,left,0.759885072708,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
30,0,30,0,left,2.7689781189,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
31,0,31,0,left,1.03300404549,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
32,0,32,0,left,5.81383681297,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
33,0,33,0,left,2.21542286873,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
34,0,34,0,left,0.996174812317,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
35,0,35,0,left,1.04434990883,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
36,0,36,0,left,3.54294514656,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
37,0,37,0,left,0.804055929184,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
38,0,38,0,left,3.22169113159,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
39,0,39,0,left,1.2223110199,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
40,0,40,0,left,3.38596391678,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
41,0,41,0,left,4.40540790558,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
42,0,42,0,left,4.50876903534,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
43,0,43,0,left,2.09169483185,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
44,0,44,0,left,0.564455986023,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
45,0,45,0,left,0.531769990921,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
46,0,46,0,left,0.466037988663,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
47,0,47,0,left,1.38753509521,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
48,0,48,0,left,4.93402695656,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
49,0,49,0,left,3.44957089424,2020_Aug_18_1643,None,ResponseTimeTest,001,LaptopVM,
