trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,49.70687173100305,None,49.49091085400141,None,left,0.12772656900051516,49.49091085400141,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
1,0,1,0,51.1239920109947,None,50.74107775199809,None,left,0.2693651080044219,50.74107775199809,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
2,0,2,0,52.523989294000785,None,52.173803058001795,None,left,0.26050528400810435,52.173803058001795,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
3,0,3,0,53.923991798001225,None,53.557941552993725,None,left,0.2862813839892624,53.557941552993725,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
4,0,4,0,55.29047701100353,None,54.957150553003885,None,left,0.2639537479990395,54.957150553003885,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
5,0,5,0,56.64109158499923,None,56.30900343299436,None,left,0.2561878529959358,56.30900343299436,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
6,0,6,0,58.00777717499295,None,57.67419494000205,None,left,0.24972433000220917,57.67419494000205,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
7,0,7,0,59.39111573300033,None,59.05785279600241,None,left,0.255952122999588,59.05785279600241,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
8,0,8,0,60.757563905994175,None,60.42451953100681,None,left,0.25418967800214887,60.42451953100681,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
9,0,9,0,62.15734362200601,None,61.80786015299964,None,left,0.26175244999467395,61.80786015299964,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
