trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,21.088995042002352,None,19.721317288000137,None,left,1.2757615609953064,19.721317288000137,None,MacLaptop,001,2020_Aug_18_1232,ResponseTimeTest,3.1.0,59.5127713219222,
1,0,1,0,22.455074475998117,None,22.13833773800434,None,left,0.24541819000296528,22.13833773800434,None,MacLaptop,001,2020_Aug_18_1232,ResponseTimeTest,3.1.0,59.5127713219222,
2,0,2,0,23.804473935000715,None,23.48838838300435,None,left,0.23427445400011493,23.48838838300435,None,MacLaptop,001,2020_Aug_18_1232,ResponseTimeTest,3.1.0,59.5127713219222,
3,0,3,0,25.15539894500398,None,24.838294945002417,None,left,0.23829397599911317,24.838294945002417,None,MacLaptop,001,2020_Aug_18_1232,ResponseTimeTest,3.1.0,59.5127713219222,
4,0,4,0,26.404845085002307,None,26.189058442003443,None,left,0.1604821360015194,26.189058442003443,None,MacLaptop,001,2020_Aug_18_1232,ResponseTimeTest,3.1.0,59.5127713219222,
5,0,5,0,27.738137043997995,None,27.43889949000004,None,left,0.2225605790008558,27.43889949000004,None,MacLaptop,001,2020_Aug_18_1232,ResponseTimeTest,3.1.0,59.5127713219222,
6,0,6,0,29.038173813998583,None,28.755201567997574,None,left,0.2201448830019217,28.755201567997574,None,MacLaptop,001,2020_Aug_18_1232,ResponseTimeTest,3.1.0,59.5127713219222,
7,0,7,0,30.404888156997913,None,30.072658076998778,None,left,0.23953410599642666,30.072658076998778,None,MacLaptop,001,2020_Aug_18_1232,ResponseTimeTest,3.1.0,59.5127713219222,
8,0,8,0,31.705465510000067,None,31.42252499100141,None,left,0.21753798099962296,31.42252499100141,None,MacLaptop,001,2020_Aug_18_1232,ResponseTimeTest,3.1.0,59.5127713219222,
9,0,9,0,32.922074371002964,None,32.73794983499829,None,left,0.11702846799744293,32.73794983499829,None,MacLaptop,001,2020_Aug_18_1232,ResponseTimeTest,3.1.0,59.5127713219222,
10,0,10,0,34.221866118001344,None,33.97249841399753,None,left,0.19147814699681476,33.97249841399753,None,MacLaptop,001,2020_Aug_18_1232,ResponseTimeTest,3.1.0,59.5127713219222,
11,0,11,0,35.52303759499773,None,35.27217368700076,None,left,0.17361274100403534,35.27217368700076,None,MacLaptop,001,2020_Aug_18_1232,ResponseTimeTest,3.1.0,59.5127713219222,
12,0,12,0,36.78838945700409,None,36.53911348400288,None,left,0.1865863929997431,36.53911348400288,None,MacLaptop,001,2020_Aug_18_1232,ResponseTimeTest,3.1.0,59.5127713219222,
13,0,13,0,38.15643325300334,None,37.822569875002955,None,left,0.2480179650010541,37.822569875002955,None,MacLaptop,001,2020_Aug_18_1232,ResponseTimeTest,3.1.0,59.5127713219222,
14,0,14,0,39.356321177998325,None,39.20512832300301,None,left,0.09552381499815965,39.20512832300301,None,MacLaptop,001,2020_Aug_18_1232,ResponseTimeTest,3.1.0,59.5127713219222,
15,0,15,0,40.68920306300424,None,40.42194947000098,None,left,0.1754714730050182,40.42194947000098,None,MacLaptop,001,2020_Aug_18_1232,ResponseTimeTest,3.1.0,59.5127713219222,
16,0,16,0,42.022406456999306,None,41.70522961800452,None,left,0.25207010300073307,41.70522961800452,None,MacLaptop,001,2020_Aug_18_1232,ResponseTimeTest,3.1.0,59.5127713219222,
17,0,17,0,43.37163974800205,None,43.05613755300146,None,left,0.23707078000006732,43.05613755300146,None,MacLaptop,001,2020_Aug_18_1232,ResponseTimeTest,3.1.0,59.5127713219222,
18,0,18,0,44.690327616001014,None,44.43970448300388,None,left,0.14946274800604442,44.43970448300388,None,MacLaptop,001,2020_Aug_18_1232,ResponseTimeTest,3.1.0,59.5127713219222,
19,0,19,0,45.92390542600333,None,45.72411522600305,None,left,0.12095099800353637,45.72411522600305,None,MacLaptop,001,2020_Aug_18_1232,ResponseTimeTest,3.1.0,59.5127713219222,
