Word,Corr,SemanticComm
BAG,right,0
THROW,left,0
CAMEL,right,0
BOARD,right,0
CAREFUL,right,1
SHOVEL,right,1
LILY,left,0
ROAD,right,1
HELMET,left,0
MEAT,right,1
SNAKE,left,0
PICTURE,right,1
HEAD,right,0
DISCREET,left,0
STREET,left,0
TAP,right,0
KNEE,right,0
BICYCLE,right,1
FLOWER,right,1
BEEF,left,0
TIGHT,right,0
TOSS,right,1
DUG,left,0
LEAK,right,0
ATTIC,right,1
PILE,right,1
LOFT,left,0
BOX,right,1
FILM,left,0
SIDEWAYS,right,0
PACK,left,0
LIZARD,right,1
TAPE,right,0
COOKIE,right,0
TIN,left,0
PHONE,right,0
