Word,Richness,Animate,Corr,freqQ,Length,LgSUBTLWF,Ortho_N,Phono_N,BG_Freq_By_Pos,NoF,CNC,FAM,IMG,Sem_N,NoS,cognate,ITI,Order
spider,L,B,left,4,6,2.713,0,4,2305,16,607,526,597,1858,3,n,3.84,1
axe,L,A,down,3,3,2.398,9,6,46,16,623,461,597,1856,3,y,2.54,2
worm,H,B,left,4,4,2.714,9,10,1103,11,611,498,578,1519,5,n,2.4,3
missile,L,A,down,1,7,1.82,1,7,2432,17,597,504,602,2059,2,y,1.95,4
cabbage,H,B,left,2,7,2.173,0,0,1324,16,611,504,573,1375,4,n,1.46,5
skunk,H,B,left,2,5,2.223,3,3,530,12,648,519,652,1129,5,n,0.93,6
ribbon,H,A,down,2,6,2.241,1,3,915,8,600,480,563,1700,4,y,0.9,7
clam,H,B,left,3,4,2.303,7,12,1066,8,564,486,541,765,4,n,2.95,8
cathedral,L,A,down,2,9,2.176,0,0,2861,13,553,440,599,2379,3,y,0.75,9
door,H,A,down,5,4,4.173,6,35,955,13,606,630,599,2943,5,n,1.41,10
dove,H,B,left,3,4,2.455,13,16,732,10,588,415,616,1816,5,n,1.64,11
piano,H,A,down,1,5,2.13,0,0,974,13,615,545,630,2509,4,y,2.72,12
wand,H,A,down,2,4,2.199,9,11,1476,10,570,381,513,1312,4,n,1.99,13
shovel,H,A,down,3,6,2.544,1,3,1385,15,581,528,538,1130,5,n,3.31,14
rattle,H,A,down,2,6,2.238,3,12,2036,9,549,448,554,1115,5,n,2.17,15
brush,H,A,down,4,5,2.747,3,4,921,12,589,579,570,2029,14,y,1.23,16
brick,L,A,down,4,5,2.761,6,12,1385,9,610,529,574,2384,2,y,2.2,17
bottle,H,A,down,5,6,3.437,2,10,1752,24,591,591,619,2328,5,y,1.72,18
tent,L,A,down,2,4,2.033,16,21,1316,11,608,521,593,1939,2,y,1.98,19
moth,L,B,left,2,4,2.068,4,8,947,8,550,496,577,1341,1,n,2.04,20
desk,L,A,down,5,4,3.35,3,3,1461,16,583,583,574,2094,1,n,1.81,21
oven,L,A,down,4,4,2.657,5,1,635,14,593,577,599,1712,1,n,2.44,22
cabin,H,A,down,1,5,1.903,0,0,1496,10,596,523,582,2197,4,y,1.24,23
bayonet,L,A,down,2,7,2.164,0,0,1303,7,600,293,548,1262,2,y,4.11,24
apple,L,B,left,5,5,3.082,2,4,968,19,620,598,637,2493,2,n,2.86,25
oak,L,B,left,3,3,2.458,4,13,76,11,588,515,590,2425,2,n,3.72,26
fox,H,B,left,5,3,3.043,6,12,373,17,605,501,607,2717,10,n,1.98,27
sheep,L,B,left,5,5,2.836,7,27,1149,21,622,507,596,2439,3,n,1.41,28
rocket,H,A,down,3,6,2.324,7,4,1507,12,645,525,612,2351,7,y,2.29,29
lettuce,L,B,left,5,7,2.82,0,3,1231,18,579,565,608,1239,3,y,1.45,30
olive,H,B,left,2,5,2.121,1,0,641,17,618,444,578,2016,6,y,1.2,31
peach,H,B,left,2,5,2.037,7,25,1816,15,617,536,613,1540,5,y,2.08,32
crow,H,B,left,3,4,2.358,6,6,1334,13,590,490,578,1926,9,n,0.4,33
pigeon,L,B,left,1,6,1.653,0,0,1155,14,609,499,610,1507,1,y,2.02,34
beetle,H,B,left,1,6,2.025,0,6,1619,13,619,503,640,1397,5,n,1.86,35
orange,H,B,left,4,6,2.711,1,2,1803,16,601,567,626,2816,6,y,1.29,36
sparrow,L,B,left,2,7,2.127,0,0,1213,13,629,523,583,1480,2,n,1.98,37
stove,L,A,down,3,5,2.589,7,6,1281,13,591,525,592,1379,2,n,1.14,38
lemon,H,B,left,4,5,2.788,1,4,1017,17,608,518,632,1773,5,n,1.08,39
flea,L,B,left,2,4,2.23,5,16,924,17,625,515,606,1347,1,n,2,40
balloon,H,A,down,3,7,2.646,0,4,2168,18,623,520,583,1903,4,y,1.49,41
pig,H,B,left,5,3,3.3,12,20,522,22,614,509,635,2080,9,n,3.49,42
accordion,L,A,down,1,9,1.833,0,0,2051,9,586,394,576,1277,1,y,0.25,43
key,H,A,down,5,3,2.829,17,30,660,10,584,577,598,2109,10,n,1.35,44
medal,L,A,down,1,5,2.009,3,12,903,14,571,494,529,2429,1,y,1.1,45
camel,L,B,left,4,5,2.716,1,6,1493,15,597,421,561,1633,1,y,1.48,46
pillow,L,A,down,4,6,2.765,2,6,1550,13,613,602,624,1512,2,n,1.21,47
pear,L,B,left,4,4,2.654,16,32,1647,13,634,567,590,1033,2,y,2.98,48
birch,H,B,left,1,5,1.903,2,21,915,10,620,518,561,1697,5,n,1.74,49
harp,H,A,down,1,4,2.107,6,8,1500,8,591,430,621,1614,5,y,2.23,50
rabbit,H,B,left,5,6,3.029,0,2,937,14,635,523,611,2171,4,n,1.47,51
blouse,L,A,down,3,6,2.283,0,3,1127,15,640,562,595,651,1,y,2.53,52
sleigh,L,A,down,2,6,2.225,0,13,704,9,613,531,608,1173,2,n,0.88,53
eagle,H,B,left,1,5,1.851,0,5,778,17,616,465,601,2513,5,y,3.45,54
sardine,H,B,left,2,7,2.182,0,0,3170,11,606,446,592,456,4,y,2.62,55
robin,L,B,left,5,5,3.105,1,3,1064,17,637,487,615,2451,2,n,2.31,56
helmet,L,A,down,4,6,2.685,0,0,1415,12,602,528,620,1987,2,n,2.31,57
willow,L,B,left,3,6,2.504,3,10,1532,10,589,425,565,1642,2,n,1.92,58
cherry,H,B,left,3,6,2.292,2,16,1409,12,611,514,582,2035,5,y,1.17,59
ant,L,B,left,3,3,2.438,7,9,790,12,604,511,613,1565,1,n,1.31,60
