Word,IMG,NoF,freqQ,BG_Freq_By_Pos,Length,CNC,Sem_N,cognate,Order,Ortho_N,NoS,Phono_N,Richness,ITI,LgSUBTLWF,Corr,FAM,Animate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,date,expName,frameRate,ParticipantID,
,,,,,,,,,,,,,,,,,,,,,,,5,3.70351815224,,,,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
spider,597,16,4,2305,6,607,1858,n,1,0,3,4,L,3.84,2.713,left,526,B,0,0,0,0,,,left,1,1.28512692451,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
axe,597,16,3,46,3,623,1856,y,2,9,3,6,L,2.54,2.398,down,461,A,0,1,1,1,,,down,1,0.751701831818,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
worm,578,11,4,1103,4,611,1519,n,3,9,5,10,H,2.4,2.714,left,498,B,0,2,2,2,,,left,1,0.737742900848,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
missile,602,17,1,2432,7,597,2059,y,4,1,2,7,L,1.95,1.82,down,504,A,0,3,3,3,,,down,1,0.601711034775,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
cabbage,573,16,2,1324,7,611,1375,n,5,0,4,0,H,1.46,2.173,left,504,B,0,4,4,4,,,left,1,0.701627969742,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
skunk,652,12,2,530,5,648,1129,n,6,3,5,3,H,0.93,2.223,left,519,B,0,5,5,5,,,left,1,0.78395986557,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
ribbon,563,8,2,915,6,600,1700,y,7,1,4,3,H,0.9,2.241,down,480,A,0,6,6,6,,,down,1,0.954430818558,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
clam,541,8,3,1066,4,564,765,n,8,7,4,12,H,2.95,2.303,left,486,B,0,7,7,7,,,left,1,0.670701026917,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
cathedral,599,13,2,2861,9,553,2379,y,9,0,3,0,L,0.75,2.176,down,440,A,0,8,8,8,,,down,1,0.919922113419,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
door,599,13,5,955,4,606,2943,n,10,6,5,35,H,1.41,4.173,down,630,A,0,9,9,9,,,down,1,0.718369007111,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
dove,616,10,3,732,4,588,1816,n,11,13,5,16,H,1.64,2.455,left,415,B,0,10,10,10,,,left,1,1.00147104263,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
piano,630,13,1,974,5,615,2509,y,12,0,4,0,H,2.72,2.13,down,545,A,0,11,11,11,,,down,1,0.651875972748,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
wand,513,10,2,1476,4,570,1312,n,13,9,4,11,H,1.99,2.199,down,381,A,0,12,12,12,,,down,1,1.08513593674,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
shovel,538,15,3,1385,6,581,1130,n,14,1,5,3,H,3.31,2.544,down,528,A,0,13,13,13,,,down,1,0.651575803757,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
rattle,554,9,2,2036,6,549,1115,n,15,3,5,12,H,2.17,2.238,down,448,A,0,14,14,14,,,down,1,0.701844930649,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
brush,570,12,4,921,5,589,2029,y,16,3,14,4,H,1.23,2.747,down,579,A,0,15,15,15,,,down,1,0.801456928253,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
brick,574,9,4,1385,5,610,2384,y,17,6,2,12,L,2.2,2.761,down,529,A,0,16,16,16,,,down,1,0.718315124512,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
bottle,619,24,5,1752,6,591,2328,y,18,2,5,10,H,1.72,3.437,down,591,A,0,17,17,17,,,down,1,1.08757805824,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
tent,593,11,2,1316,4,608,1939,y,19,16,2,21,L,1.98,2.033,down,521,A,0,18,18,18,,,down,1,0.584630012512,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
moth,577,8,2,947,4,550,1341,n,20,4,1,8,L,2.04,2.068,left,496,B,0,19,19,19,,,down,0,1.46839094162,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
desk,574,16,5,1461,4,583,2094,n,21,3,1,3,L,1.81,3.35,down,583,A,0,20,20,20,,,down,1,0.751760005951,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
