Word,IMG,NoF,freqQ,BG_Freq_By_Pos,Length,CNC,Sem_N,cognate,Order,Ortho_N,NoS,Phono_N,Richness,ITI,LgSUBTLWF,Corr,FAM,Animate,n,key_resp_3.corr_mean,key_resp_3.corr_raw,key_resp_3.corr_std,key_resp_3.keys_raw,key_resp_3.rt_mean,key_resp_3.rt_raw,key_resp_3.rt_std,order
spider,597,16,4,2305,6,607,1858,n,1,0,3,4,L,3.84,2.713,left,526,B,1.0,1.0,1.0,0.0,'left',1.28512692451,1.2851269245147705,0.0,0.0
axe,597,16,3,46,3,623,1856,y,2,9,3,6,L,2.54,2.398,down,461,A,1.0,1.0,1.0,0.0,'down',0.751701831818,0.751701831817627,0.0,1.0
worm,578,11,4,1103,4,611,1519,n,3,9,5,10,H,2.4,2.714,left,498,B,1.0,1.0,1.0,0.0,'left',0.737742900848,0.7377429008483887,0.0,2.0
missile,602,17,1,2432,7,597,2059,y,4,1,2,7,L,1.95,1.82,down,504,A,1.0,1.0,1.0,0.0,'down',0.601711034775,0.6017110347747803,0.0,3.0
cabbage,573,16,2,1324,7,611,1375,n,5,0,4,0,H,1.46,2.173,left,504,B,1.0,1.0,1.0,0.0,'left',0.701627969742,0.7016279697418213,0.0,4.0
skunk,652,12,2,530,5,648,1129,n,6,3,5,3,H,0.93,2.223,left,519,B,1.0,1.0,1.0,0.0,'left',0.78395986557,0.7839598655700684,0.0,5.0
ribbon,563,8,2,915,6,600,1700,y,7,1,4,3,H,0.9,2.241,down,480,A,1.0,1.0,1.0,0.0,'down',0.954430818558,0.9544308185577393,0.0,6.0
clam,541,8,3,1066,4,564,765,n,8,7,4,12,H,2.95,2.303,left,486,B,1.0,1.0,1.0,0.0,'left',0.670701026917,0.6707010269165039,0.0,7.0
cathedral,599,13,2,2861,9,553,2379,y,9,0,3,0,L,0.75,2.176,down,440,A,1.0,1.0,1.0,0.0,'down',0.919922113419,0.9199221134185791,0.0,8.0
door,599,13,5,955,4,606,2943,n,10,6,5,35,H,1.41,4.173,down,630,A,1.0,1.0,1.0,0.0,'down',0.718369007111,0.7183690071105957,0.0,9.0
dove,616,10,3,732,4,588,1816,n,11,13,5,16,H,1.64,2.455,left,415,B,1.0,1.0,1.0,0.0,'left',1.00147104263,1.0014710426330566,0.0,10.0
piano,630,13,1,974,5,615,2509,y,12,0,4,0,H,2.72,2.13,down,545,A,1.0,1.0,1.0,0.0,'down',0.651875972748,0.6518759727478027,0.0,11.0
wand,513,10,2,1476,4,570,1312,n,13,9,4,11,H,1.99,2.199,down,381,A,1.0,1.0,1.0,0.0,'down',1.08513593674,1.0851359367370605,0.0,12.0
shovel,538,15,3,1385,6,581,1130,n,14,1,5,3,H,3.31,2.544,down,528,A,1.0,1.0,1.0,0.0,'down',0.651575803757,0.6515758037567139,0.0,13.0
rattle,554,9,2,2036,6,549,1115,n,15,3,5,12,H,2.17,2.238,down,448,A,1.0,1.0,1.0,0.0,'down',0.701844930649,0.7018449306488037,0.0,14.0
brush,570,12,4,921,5,589,2029,y,16,3,14,4,H,1.23,2.747,down,579,A,1.0,1.0,1.0,0.0,'down',0.801456928253,0.8014569282531738,0.0,15.0
brick,574,9,4,1385,5,610,2384,y,17,6,2,12,L,2.2,2.761,down,529,A,1.0,1.0,1.0,0.0,'down',0.718315124512,0.7183151245117188,0.0,16.0
bottle,619,24,5,1752,6,591,2328,y,18,2,5,10,H,1.72,3.437,down,591,A,1.0,1.0,1.0,0.0,'down',1.08757805824,1.0875780582427979,0.0,17.0
tent,593,11,2,1316,4,608,1939,y,19,16,2,21,L,1.98,2.033,down,521,A,1.0,1.0,1.0,0.0,'down',0.584630012512,0.584630012512207,0.0,18.0
