Word,Phono_N,IMG,ITI,NoF,FAM,LgSUBTLWF,BG_Freq_By_Pos,Length,CNC,Sem_N,cognate,Order,Ortho_N,NoS,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,5,0.912625074387,,,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
medal,12,529,3.84,14,494,2.009,903,5,571,2429,y,1,3,1,0,0,0,0,,,None,,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
oven,1,599,2.54,14,577,2.657,635,4,593,1712,n,2,5,1,0,1,1,1,,,down,1.60178899765,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
apple,4,637,2.4,19,598,3.082,968,5,620,2493,n,3,2,2,0,2,2,2,,,left,0.651340007782,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
flea,16,606,1.95,17,515,2.23,924,4,625,1347,n,4,5,1,0,3,3,3,,,left,0.935052871704,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
rattle,12,554,1.46,9,448,2.238,2036,6,549,1115,n,5,3,5,0,4,4,4,,,down,0.968436002731,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
python,0,559,0.93,15,308,2.314,873,6,580,1538,y,6,0,3,0,5,5,5,,,left,0.901241064072,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
cellar,10,572,0.9,10,467,2.68,1695,6,572,1676,n,7,1,3,0,6,6,6,,,down,0.635535955429,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
olive,0,578,2.95,17,444,2.121,641,5,618,2016,y,8,1,6,0,7,7,7,,,left,0.601531028748,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
dress,4,595,0.75,13,588,3.648,1357,5,595,2608,n,9,3,21,0,8,8,8,,,down,0.635020971298,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
pencil,1,607,1.41,16,598,2.702,1612,6,617,1602,n,10,0,5,0,9,9,9,,,down,0.718428850174,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
clock,13,614,1.64,14,608,3.476,1103,5,591,2344,n,11,8,2,0,10,10,10,,,down,0.636875152588,2018_Feb_20_2135,59.9039093251,LexicalDecision,001,,
