ShapeColor,TextColor,Word,Corr,Congruency,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,Participant ID,date,expName,session,frameRate,
"[-1, -1, 1]",Blue,Green,n,Incon,0,0,0,5,,,,,n,1,3.80282092094,9999999,2018_Oct_25_1435,Stroop,01,1184.5304866,
"[-1, 0.6, -1]",Green,Blue,b,Incon,0,1,1,2,,,,,n,0,0.365562200546,9999999,2018_Oct_25_1435,Stroop,01,1184.5304866,
"[1, 1, -1]",Yellow,Blue,m,Incon,0,2,2,0,,,,,n,0,0.708953142166,9999999,2018_Oct_25_1435,Stroop,01,1184.5304866,
"[1, 1, -1]",Yellow,Green,m,Incon,0,3,3,3,,,,,n,0,0.509109020233,9999999,2018_Oct_25_1435,Stroop,01,1184.5304866,
"[-1, 0.6, -1]",Green,Green,b,Con,0,4,4,7,,,,,b,1,2.09377717972,9999999,2018_Oct_25_1435,Stroop,01,1184.5304866,
"[1, -1, -1]",Red,Red,r,Con,0,5,5,4,,,,,b,0,0.725172996521,9999999,2018_Oct_25_1435,Stroop,01,1184.5304866,
"[1, 1, -1]",Yellow,Yellow,m,Con,0,6,6,1,,,,,b,0,0.669680118561,9999999,2018_Oct_25_1435,Stroop,01,1184.5304866,
"[1, -1, -1]",Red,Green,r,Incon,0,7,7,8,,,,,v,0,0.382040023804,9999999,2018_Oct_25_1435,Stroop,01,1184.5304866,
"[-1, -1, 1]",Blue,Red,n,Incon,0,8,8,6,,,,,m,0,1.10863304138,9999999,2018_Oct_25_1435,Stroop,01,1184.5304866,
"[-1, -1, 1]",Blue,Blue,n,Con,0,9,9,9,,,,,n,1,0.253581047058,9999999,2018_Oct_25_1435,Stroop,01,1184.5304866,
