3.6213 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x113d401d0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.6214 	EXP 	window1: recordFrameIntervals = False
3.7864 	EXP 	window1: recordFrameIntervals = True
3.9701 	EXP 	window1: recordFrameIntervals = False
3.9854 	EXP 	Created polygon = Polygon(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([ 1.,  1.,  1.]), fillColorSpace='rgb', fillRGB=array([ 1.,  1.,  1.]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1, name='polygon', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), units=u'norm', vertices=ndarray(...), win=Window(...))
4.0697 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
4.0721 	EXP 	Imported VSTMBlockListv1.csv as conditions, 5 conditions, 5 params
4.0724 	EXP 	Created sequence: sequential, trialTypes=5, nReps=1, seed=None
4.0728 	EXP 	New trial (rep=0, index=0): {'Load': 45, 'Trial': 1, 'Probe': 1, 'corr': u'left', 'ITI': 1}
4.0865 	EXP 	polygon: autoDraw = True
5.0868 	EXP 	polygon: autoDraw = False
5.0887 	EXP 	window1: blendMode = 'avg'
5.1033 	EXP 	text: autoDraw = True
5.1043 	EXP 	window1: blendMode = 'avg'
5.1210 	EXP 	window1: blendMode = 'avg'
5.1375 	EXP 	window1: blendMode = 'avg'
5.1540 	EXP 	window1: blendMode = 'avg'
5.1709 	EXP 	window1: blendMode = 'avg'
5.1874 	EXP 	window1: blendMode = 'avg'
5.2036 	EXP 	window1: blendMode = 'avg'
5.2206 	EXP 	window1: blendMode = 'avg'
5.2375 	EXP 	window1: blendMode = 'avg'
5.2545 	EXP 	window1: blendMode = 'avg'
5.2712 	EXP 	window1: blendMode = 'avg'
5.2875 	EXP 	window1: blendMode = 'avg'
5.3042 	EXP 	window1: blendMode = 'avg'
5.3211 	EXP 	window1: blendMode = 'avg'
5.3374 	EXP 	window1: blendMode = 'avg'
5.3544 	EXP 	window1: blendMode = 'avg'
5.3710 	EXP 	window1: blendMode = 'avg'
5.3875 	EXP 	window1: blendMode = 'avg'
5.4044 	EXP 	window1: blendMode = 'avg'
5.4211 	EXP 	window1: blendMode = 'avg'
5.4374 	EXP 	window1: blendMode = 'avg'
5.4543 	EXP 	window1: blendMode = 'avg'
5.4712 	EXP 	window1: blendMode = 'avg'
5.4878 	EXP 	window1: blendMode = 'avg'
5.5045 	EXP 	window1: blendMode = 'avg'
5.5211 	EXP 	window1: blendMode = 'avg'
5.5374 	EXP 	window1: blendMode = 'avg'
5.5542 	EXP 	window1: blendMode = 'avg'
5.5707 	EXP 	window1: blendMode = 'avg'
5.5877 	EXP 	window1: blendMode = 'avg'
5.6044 	EXP 	window1: blendMode = 'avg'
5.6210 	EXP 	window1: blendMode = 'avg'
5.6375 	EXP 	window1: blendMode = 'avg'
5.6544 	EXP 	window1: blendMode = 'avg'
5.6710 	EXP 	window1: blendMode = 'avg'
5.6878 	EXP 	window1: blendMode = 'avg'
5.7045 	EXP 	window1: blendMode = 'avg'
5.7211 	EXP 	window1: blendMode = 'avg'
5.7375 	EXP 	window1: blendMode = 'avg'
5.7544 	EXP 	window1: blendMode = 'avg'
5.7712 	EXP 	window1: blendMode = 'avg'
5.7879 	EXP 	window1: blendMode = 'avg'
5.8043 	EXP 	window1: blendMode = 'avg'
5.8211 	EXP 	window1: blendMode = 'avg'
5.8376 	EXP 	window1: blendMode = 'avg'
5.8541 	EXP 	window1: blendMode = 'avg'
5.8710 	EXP 	window1: blendMode = 'avg'
5.8877 	EXP 	window1: blendMode = 'avg'
5.9044 	EXP 	window1: blendMode = 'avg'
