3.6482 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x113e011d0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.6482 	EXP 	window1: recordFrameIntervals = False
3.8140 	EXP 	window1: recordFrameIntervals = True
3.9975 	EXP 	window1: recordFrameIntervals = False
4.0127 	EXP 	Created polygon = Polygon(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([ 1.,  1.,  1.]), fillColorSpace='rgb', fillRGB=array([ 1.,  1.,  1.]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1, name='polygon', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), units=u'norm', vertices=ndarray(...), win=Window(...))
4.0975 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
4.0998 	EXP 	Imported VSTMBlockListv1.csv as conditions, 5 conditions, 5 params
4.1001 	EXP 	Created sequence: sequential, trialTypes=5, nReps=1, seed=None
4.1005 	EXP 	New trial (rep=0, index=0): {'Load': 45, 'Trial': 1, 'Probe': 1, 'corr': u'left', 'ITI': 1}
4.1141 	EXP 	polygon: autoDraw = True
5.1143 	EXP 	polygon: autoDraw = False
5.1162 	EXP 	window1: blendMode = 'avg'
5.1312 	EXP 	text: autoDraw = True
5.1324 	EXP 	window1: blendMode = 'avg'
5.1488 	EXP 	window1: blendMode = 'avg'
5.1654 	EXP 	window1: blendMode = 'avg'
5.1824 	EXP 	window1: blendMode = 'avg'
5.1988 	EXP 	window1: blendMode = 'avg'
5.2152 	EXP 	window1: blendMode = 'avg'
5.2323 	EXP 	window1: blendMode = 'avg'
5.2488 	EXP 	window1: blendMode = 'avg'
5.2657 	EXP 	window1: blendMode = 'avg'
5.2821 	EXP 	window1: blendMode = 'avg'
5.2987 	EXP 	window1: blendMode = 'avg'
5.3155 	EXP 	window1: blendMode = 'avg'
5.3319 	EXP 	window1: blendMode = 'avg'
5.3488 	EXP 	window1: blendMode = 'avg'
5.3653 	EXP 	window1: blendMode = 'avg'
5.3822 	EXP 	window1: blendMode = 'avg'
5.3985 	EXP 	window1: blendMode = 'avg'
5.4152 	EXP 	window1: blendMode = 'avg'
5.4319 	EXP 	window1: blendMode = 'avg'
5.4483 	EXP 	window1: blendMode = 'avg'
5.4655 	EXP 	window1: blendMode = 'avg'
5.4820 	EXP 	window1: blendMode = 'avg'
5.4987 	EXP 	window1: blendMode = 'avg'
5.5155 	EXP 	window1: blendMode = 'avg'
5.5321 	EXP 	window1: blendMode = 'avg'
5.5487 	EXP 	window1: blendMode = 'avg'
5.5653 	EXP 	window1: blendMode = 'avg'
5.5822 	EXP 	window1: blendMode = 'avg'
5.5986 	EXP 	window1: blendMode = 'avg'
5.6156 	EXP 	window1: blendMode = 'avg'
5.6320 	EXP 	window1: blendMode = 'avg'
5.6486 	EXP 	window1: blendMode = 'avg'
5.6654 	EXP 	window1: blendMode = 'avg'
5.6822 	EXP 	window1: blendMode = 'avg'
5.6988 	EXP 	window1: blendMode = 'avg'
5.7156 	EXP 	window1: blendMode = 'avg'
5.7322 	EXP 	window1: blendMode = 'avg'
5.7485 	EXP 	window1: blendMode = 'avg'
5.7654 	EXP 	window1: blendMode = 'avg'
5.7821 	EXP 	window1: blendMode = 'avg'
5.7987 	EXP 	window1: blendMode = 'avg'
5.8156 	EXP 	window1: blendMode = 'avg'
5.8319 	EXP 	window1: blendMode = 'avg'
5.8489 	EXP 	window1: blendMode = 'avg'
5.8658 	EXP 	window1: blendMode = 'avg'
5.8823 	EXP 	window1: blendMode = 'avg'
5.8990 	EXP 	window1: blendMode = 'avg'
5.9155 	EXP 	window1: blendMode = 'avg'
5.9320 	EXP 	window1: blendMode = 'avg'
5.9491 	EXP 	window1: blendMode = 'avg'
5.9655 	EXP 	window1: blendMode = 'avg'
5.9819 	EXP 	window1: blendMode = 'avg'
5.9989 	EXP 	window1: blendMode = 'avg'
6.0155 	EXP 	window1: blendMode = 'avg'
6.0319 	EXP 	window1: blendMode = 'avg'
6.0489 	EXP 	window1: blendMode = 'avg'
6.0653 	EXP 	window1: blendMode = 'avg'
6.0822 	EXP 	window1: blendMode = 'avg'
6.1145 	EXP 	text: autoDraw = False
7.9099 	DATA 	Keypress: left
7.9110 	EXP 	New trial (rep=0, index=1): {'Load': 35, 'Trial': 2, 'Probe': 0, 'corr': u'down', 'ITI': 1}
7.9313 	EXP 	polygon: autoDraw = False
7.9313 	EXP 	text: autoDraw = False
7.9313 	EXP 	polygon: autoDraw = True
8.9154 	EXP 	window1: blendMode = 'avg'
8.9313 	EXP 	polygon: autoDraw = False
8.9313 	EXP 	text: autoDraw = True
8.9320 	EXP 	window1: blendMode = 'avg'
8.9487 	EXP 	window1: blendMode = 'avg'
8.9656 	EXP 	window1: blendMode = 'avg'
8.9827 	EXP 	window1: blendMode = 'avg'
8.9993 	EXP 	window1: blendMode = 'avg'
9.0162 	EXP 	window1: blendMode = 'avg'
9.0326 	EXP 	window1: blendMode = 'avg'
9.0492 	EXP 	window1: blendMode = 'avg'
9.0662 	EXP 	window1: blendMode = 'avg'
9.0826 	EXP 	window1: blendMode = 'avg'
9.0996 	EXP 	window1: blendMode = 'avg'
9.1159 	EXP 	window1: blendMode = 'avg'
