Word,corr
cockatoo,left
cerebrum,left
scallion,left
lisle,down
acacia,down
sorghum,left
trestle,down
hydrangea,left
puffin,left
munition,down
cummerbund,down
barrette,down
nettle,left
salamander,left
puma,left
endive,left
sarong,down
bobbin,down
anchovy,left
sinew,down
wicket,down
sequin,down
pumice,left
sequoia,left
divan,down
damask,down
lemming,left
placard,down
mastiff,left
azalea,left
muslin,down
cask,down
colander,down
candelabra,down
spearmint,left
cormorant,left
tarpaulin,down
obelisk,down
coffer,down
carafe,down
whippet,down
brocade,down
chard,down
oriole,left
hibiscus,left
spire,down
catacomb,down
camisole,down
crockery,down
hosiery,down
dray,down
crinoline,down
rattan,down
persimmon,left
aphid,left
coriander,left
begonia,left
sumac,left
dromedary,down
oleander,down
verandah,down
lanyard,down
parsnip,left
pinafore,down
lectern,down
toucan,left
stamen,left
lichen,left
slat,down
pimento,left
toboggan,down
opossum,left
lyre,down
lattice,down
palmetto,left
sachet,down
platypus,left
ibex,left
katydid,left
sloe,down
poplin,down
catamaran,down
crocus,left
cicada,left
tuber,left
poinsettia,left
